TIME,GEO,PRODUCTONSOM,UNIT,TAXURRENCY,Value,Flag and Footnotes
2007S2,Slovenia,Electrical energy,Band IA : Consumption < 20 MWh,Kilowatt-hour,Excluding taxes and levies,Euro,0.1215
2007S2,Slovenia,Electrical energy,Band IA : Consumption < 20 MWh,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,Euro,0.1281
2007S2,Slovenia,Electrical energy,Band IA : Consumption < 20 MWh,Kilowatt-hour,All taxes and levies included,Euro,0.1538
2007S2,Slovenia,Electrical energy,Band IB : 20 MWh < Consumption < 500 MWh,Kilowatt-hour,Excluding taxes and levies,Euro,0.1066
2007S2,Slovenia,Electrical energy,Band IB : 20 MWh < Consumption < 500 MWh,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,Euro,0.1106
2007S2,Slovenia,Electrical energy,Band IB : 20 MWh < Consumption < 500 MWh,Kilowatt-hour,All taxes and levies included,Euro,0.1327
2007S2,Slovenia,Electrical energy,Band IC : 500 MWh < Consumption < 2 000 MWh,Kilowatt-hour,Excluding taxes and levies,Euro,0.0872
2007S2,Slovenia,Electrical energy,Band IC : 500 MWh < Consumption < 2 000 MWh,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,Euro,0.0910
2007S2,Slovenia,Electrical energy,Band IC : 500 MWh < Consumption < 2 000 MWh,Kilowatt-hour,All taxes and levies included,Euro,0.1092
2007S2,Slovenia,Electrical energy,Band ID : 2 000 MWh < Consumption < 20 000 MWh,Kilowatt-hour,Excluding taxes and levies,Euro,0.0709
2007S2,Slovenia,Electrical energy,Band ID : 2 000 MWh < Consumption < 20 000 MWh,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,Euro,0.0747
2007S2,Slovenia,Electrical energy,Band ID : 2 000 MWh < Consumption < 20 000 MWh,Kilowatt-hour,All taxes and levies included,Euro,0.0897
2007S2,Slovenia,Electrical energy,Band IE : 20 000 MWh < Consumption < 70 000 MWh,Kilowatt-hour,Excluding taxes and levies,Euro,0.0616
2007S2,Slovenia,Electrical energy,Band IE : 20 000 MWh < Consumption < 70 000 MWh,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,Euro,0.0648
2007S2,Slovenia,Electrical energy,Band IE : 20 000 MWh < Consumption < 70 000 MWh,Kilowatt-hour,All taxes and levies included,Euro,0.0777
2007S2,Slovenia,Electrical energy,Band IF : 70 000 MWh < Consumption < 150 000 MWh,Kilowatt-hour,Excluding taxes and levies,Euro,0.0645
2007S2,Slovenia,Electrical energy,Band IF : 70 000 MWh < Consumption < 150 000 MWh,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,Euro,0.0679
2007S2,Slovenia,Electrical energy,Band IF : 70 000 MWh < Consumption < 150 000 MWh,Kilowatt-hour,All taxes and levies included,Euro,0.0815
2007S2,Slovenia,Electrical energy,Band IG : Consumption > 150 000 MWh,Kilowatt-hour,Excluding taxes and levies,Euro,:
2007S2,Slovenia,Electrical energy,Band IG : Consumption > 150 000 MWh,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,Euro,:
2007S2,Slovenia,Electrical energy,Band IG : Consumption > 150 000 MWh,Kilowatt-hour,All taxes and levies included,Euro,:
2008S1,Slovenia,Electrical energy,Band IA : Consumption < 20 MWh,Kilowatt-hour,Excluding taxes and levies,Euro,0.1374
2008S1,Slovenia,Electrical energy,Band IA : Consumption < 20 MWh,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,Euro,0.1412
2008S1,Slovenia,Electrical energy,Band IA : Consumption < 20 MWh,Kilowatt-hour,All taxes and levies included,Euro,0.1694
2008S1,Slovenia,Electrical energy,Band IB : 20 MWh < Consumption < 500 MWh,Kilowatt-hour,Excluding taxes and levies,Euro,0.1200
