ENERGETSKI KAZALNIK
ENERGETSKI VIR;2009;2010;2011;2012;2013;2014;2015;2016;2017
Ekstra lahko kurilno olje (t);254125;267249;209883;181942;149715;121913;119149;109680;100543
Zemeljski plin (1000 Sm3);130291;139711;139098;143941;140547;108776;127143;141194;146224
Drva - polena (t);1373650;1385989;1377291;1322659;1363750;1085646;1211808;1259804;1183505
Lesni peleti (t);25507;30634;49140;62498;67397;56859;68147;74415;75659
Lesni sekanci, briketi in ostanki (t);25415;27243;28196;29099;29905;24834;29438;32163;32348
Utekocinjeni naftni plin (t);34379;33198;35637;31941;27479;22366;29715;28628;28811
Elektricna energija (GWh);3137;3219;3211;3179;3229;3125;3205;3260;3327
Premog (t);5644;3095;2140;1510;1033;565;489;362;250
Daljinska toplota (TJ);4022;4245;3742;3433;3410;2798;3211;3435;3308
Soncna energija (TJ);319;342;374;410;438;453;456;458;458
Toplota iz okolice (TJ);265;350;439;668;838;863;1125;1344;1426
